file,class,num_vertices,num_faces,face_types,bounding_box
data/ShapeDatabase_resampled/SubmachineGun/D00878_1521.obj,SubmachineGun,1521,2929,only triangles,"{'min': [-0.89, -0.39, -0.07], 'max': [0.9, 0.18, 0.06]}"
data/ShapeDatabase_resampled/SubmachineGun/D00384_1272.obj,SubmachineGun,1272,2422,only triangles,"{'min': [-0.91, -0.12, -0.03], 'max': [0.86, 0.26, 0.04]}"
data/ShapeDatabase_resampled/SubmachineGun/D00219_5096.obj,SubmachineGun,5096,10067,only triangles,"{'min': [-0.8, -0.25, -0.06], 'max': [1.16, 0.53, 0.07]}"
data/ShapeDatabase_resampled/SubmachineGun/D00062_1546.obj,SubmachineGun,1546,2964,only triangles,"{'min': [-0.67, -0.26, -0.1], 'max': [0.96, 0.33, 0.11]}"
data/ShapeDatabase_resampled/SubmachineGun/D00537_1596.obj,SubmachineGun,1596,3188,only triangles,"{'min': [-0.95, -0.24, -0.03], 'max': [0.75, 0.2, 0.03]}"
data/ShapeDatabase_resampled/SubmachineGun/D00733_4939.obj,SubmachineGun,4939,9076,only triangles,"{'min': [-0.78, -0.62, -0.08], 'max': [0.94, 0.19, 0.15]}"
data/ShapeDatabase_resampled/SubmachineGun/D00060_5060.obj,SubmachineGun,5060,10061,only triangles,"{'min': [-0.91, -0.2, -0.06], 'max': [1.06, 0.32, 0.03]}"
data/ShapeDatabase_resampled/SubmachineGun/D00960_4170.obj,SubmachineGun,4170,8300,only triangles,"{'min': [-1.1, -0.37, -0.06], 'max': [0.62, 0.36, 0.05]}"
data/ShapeDatabase_resampled/SubmachineGun/D00489_6425.obj,SubmachineGun,6425,12802,only triangles,"{'min': [-0.84, -0.81, -0.08], 'max': [0.89, 0.62, 0.09]}"
data/ShapeDatabase_resampled/SubmachineGun/D00068_8047.obj,SubmachineGun,8047,16365,only triangles,"{'min': [-0.8, -0.2, -0.05], 'max': [0.81, 0.35, 0.03]}"
data/ShapeDatabase_resampled/SubmachineGun/D00119_7909.obj,SubmachineGun,7909,16295,only triangles,"{'min': [-1.24, -0.15, -0.16], 'max': [0.74, 0.32, 0.17]}"
data/ShapeDatabase_resampled/SubmachineGun/D00893_3349.obj,SubmachineGun,3349,6656,only triangles,"{'min': [-0.92, -0.18, -0.08], 'max': [0.95, 0.36, 0.04]}"
