class,num_vertices,num_faces,face_types,bounding_box
Insect,1551,2818,only triangles,"{'min': [-0.87, -0.87, -0.37], 'max': [0.82, 0.72, 0.42]}"
Insect,1384,2556,only triangles,"{'min': [-1.02, -0.41, -0.36], 'max': [0.43, 0.62, 0.19]}"
Insect,313,578,only triangles,"{'min': [-0.88, -0.35, -0.35], 'max': [0.87, 1.04, 0.23]}"
Insect,12008,23932,only triangles,"{'min': [-0.93, -0.9, -0.32], 'max': [0.77, 0.61, 0.49]}"
Insect,3248,5280,only triangles,"{'min': [-0.85, -0.62, -0.43], 'max': [0.84, 0.76, 0.61]}"
Insect,2022,3110,only triangles,"{'min': [-0.65, -0.71, -0.22], 'max': [1.01, 0.8, 0.28]}"
Insect,6502,12876,only triangles,"{'min': [-0.59, -0.84, -0.34], 'max': [0.94, 0.8, 0.45]}"
Insect,5923,11290,only triangles,"{'min': [-1.0, -0.67, -0.2], 'max': [0.88, 0.78, 0.17]}"
Insect,790,1500,only triangles,"{'min': [-0.58, -0.51, -0.24], 'max': [0.87, 0.49, 0.11]}"
Insect,286,528,only triangles,"{'min': [-0.85, -0.5, -0.24], 'max': [0.94, 0.47, 0.1]}"
Insect,1588,2976,only triangles,"{'min': [-0.82, -0.81, -0.33], 'max': [0.86, 0.81, 0.31]}"
Insect,15305,30554,only triangles,"{'min': [-0.53, -0.54, -0.53], 'max': [0.88, 0.38, 0.41]}"
Insect,4250,8324,only triangles,"{'min': [-0.86, -0.59, -0.37], 'max': [0.84, 0.77, 0.35]}"
Insect,4346,8216,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.56, 0.98, 0.33]}"
Insect,12528,25000,only triangles,"{'min': [-0.77, -0.82, -0.29], 'max': [0.9, 0.68, 0.29]}"
Insect,491,1087,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.55, 0.18, 0.98]}"
Insect,23399,46540,only triangles,"{'min': [-0.57, -0.73, -0.41], 'max': [0.87, 0.63, 0.23]}"
Insect,1362,2628,only triangles,"{'min': [-0.76, -0.64, -0.11], 'max': [0.72, 0.72, 0.17]}"
Insect,278,500,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.38, 0.56]}"
Insect,10092,19952,only triangles,"{'min': [-0.63, -0.38, -0.35], 'max': [0.89, 0.41, 0.47]}"
Insect,265,506,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.57, 0.58, 0.98]}"
Insect,313,588,only triangles,"{'min': [-0.71, -0.61, -0.17], 'max': [1.07, 0.66, 0.23]}"
Insect,2830,5358,only triangles,"{'min': [-1.04, -0.47, -0.51], 'max': [0.7, 0.48, 0.19]}"
