filename,filepath,category,area,volume,aabb_volume,compactness,diameter,convexity,eccentricity,A3_0,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,A3_8,A3_9,D1_0,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D2_0,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D3_0,D3_1,D3_2,D3_3,D3_4,D3_5,D3_6,D3_7,D3_8,D3_9,D4_0,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8,D4_9
D00668_6732.obj,normalized_data/Insect/D00668_6732.obj,Insect,1.111,-0.024,0.336,2434.94,1.128,-0.191,7.002,0.1225,0.216,0.191,0.138,0.0975,0.0915,0.0695,0.042,0.027,0.005,0.08,0.5695,0.266,0.0765,0.003,0.002,0.003,0.0,0.0,0.0,0.1895,0.467,0.2275,0.0915,0.018,0.004,0.0025,0.0,0.0,0.0,0.1015,0.5075,0.355,0.033,0.003,0.0,0.0,0.0,0.0,0.0,0.255,0.6255,0.117,0.0025,0.0,0.0,0.0,0.0,0.0,0.0
m18_7588.obj,normalized_data/Insect/m18_7588.obj,Insect,0.484,-0.0,0.324,644089.179,1.028,-0.002,8.737,0.1745,0.196,0.168,0.137,0.091,0.0765,0.0685,0.0485,0.0275,0.0125,0.084,0.227,0.175,0.1115,0.1815,0.221,0.0,0.0,0.0,0.0,0.0665,0.1845,0.217,0.2315,0.152,0.1,0.0365,0.012,0.0,0.0,0.0495,0.163,0.242,0.261,0.1665,0.082,0.029,0.0065,0.0005,0.0,0.1015,0.332,0.334,0.1745,0.051,0.007,0.0,0.0,0.0,0.0
D00774_5124.obj,normalized_data/Insect/D00774_5124.obj,Insect,0.37,0.003,0.186,5212.277,1.021,0.031,11.22,0.162,0.2085,0.166,0.126,0.0835,0.075,0.0855,0.056,0.0295,0.008,0.0645,0.315,0.213,0.243,0.141,0.0235,0.0,0.0,0.0,0.0,0.1015,0.2475,0.2885,0.1995,0.1,0.0465,0.0165,0.0,0.0,0.0,0.0675,0.25,0.3155,0.2585,0.0815,0.02,0.0065,0.0005,0.0,0.0,0.161,0.413,0.309,0.11,0.007,0.0,0.0,0.0,0.0,0.0
m9_4883.obj,normalized_data/Insect/m9_4883.obj,Insect,0.552,0.005,0.379,5763.245,1.0,0.045,2.986,0.149,0.214,0.172,0.1325,0.1005,0.0765,0.068,0.045,0.032,0.0105,0.1365,0.3325,0.287,0.1605,0.067,0.0165,0.0,0.0,0.0,0.0,0.156,0.3265,0.275,0.1605,0.0615,0.019,0.0015,0.0,0.0,0.0,0.1125,0.3395,0.31,0.165,0.057,0.0135,0.002,0.0005,0.0,0.0,0.2315,0.469,0.2265,0.06,0.0125,0.0005,0.0,0.0,0.0,0.0
D00752_6768.obj,normalized_data/Insect/D00752_6768.obj,Insect,1.033,-0.015,0.329,5171.979,1.087,-0.12,12.119,0.1715,0.208,0.164,0.124,0.084,0.0775,0.0585,0.0565,0.0425,0.0135,0.087,0.1705,0.2725,0.2145,0.177,0.0785,0.0,0.0,0.0,0.0,0.0995,0.2225,0.2495,0.2255,0.1345,0.053,0.0135,0.002,0.0,0.0,0.0775,0.2745,0.27,0.2155,0.103,0.051,0.007,0.0015,0.0,0.0,0.1735,0.4205,0.2995,0.087,0.018,0.0015,0.0,0.0,0.0,0.0
D00082_7162.obj,normalized_data/Insect/D00082_7162.obj,Insect,1.676,0.064,0.428,1162.844,1.073,0.338,15.021,0.1981981981981982,0.15315315315315314,0.14164164164164164,0.13763763763763764,0.1061061061061061,0.11011011011011011,0.07007007007007007,0.04354354354354354,0.03003003003003003,0.00950950950950951,0.0,0.021,0.1195,0.719,0.1175,0.0195,0.0035,0.0,0.0,0.0,0.2975,0.245,0.1075,0.1115,0.1215,0.0975,0.0195,0.0,0.0,0.0,0.2345,0.3425,0.2265,0.1175,0.0415,0.027,0.009,0.0015,0.0,0.0,0.3895,0.383,0.1805,0.0375,0.0085,0.001,0.0,0.0,0.0,0.0
D00973_7638.obj,normalized_data/Insect/D00973_7638.obj,Insect,0.96,-0.03,0.215,997.484,1.005,-0.252,10.134,0.193,0.1975,0.145,0.106,0.103,0.088,0.0615,0.051,0.0375,0.0175,0.1565,0.2065,0.0955,0.245,0.269,0.0275,0.0,0.0,0.0,0.0,0.157,0.2745,0.277,0.164,0.07,0.044,0.0135,0.0,0.0,0.0,0.1055,0.344,0.3585,0.1435,0.0425,0.006,0.0,0.0,0.0,0.0,0.2215,0.5195,0.2265,0.0285,0.004,0.0,0.0,0.0,0.0,0.0
D00231_5568.obj,normalized_data/Insect/D00231_5568.obj,Insect,0.895,0.001,0.121,418624.238,1.028,0.027,51.003,0.218,0.1995,0.1375,0.1125,0.081,0.0705,0.059,0.047,0.053,0.022,0.067,0.2615,0.271,0.255,0.118,0.0275,0.0,0.0,0.0,0.0,0.115,0.2505,0.2765,0.184,0.116,0.048,0.01,0.0,0.0,0.0,0.082,0.3105,0.328,0.1885,0.0705,0.02,0.0005,0.0,0.0,0.0,0.284,0.5035,0.196,0.0155,0.001,0.0,0.0,0.0,0.0,0.0
m19_7616.obj,normalized_data/Insect/m19_7616.obj,Insect,0.844,0.013,0.239,3419.862,1.019,0.125,11.568,0.1525,0.223,0.1625,0.115,0.0995,0.0895,0.066,0.0485,0.0345,0.009,0.096,0.283,0.3155,0.171,0.1055,0.029,0.0,0.0,0.0,0.0,0.104,0.3085,0.2835,0.1805,0.079,0.037,0.0075,0.0,0.0,0.0,0.067,0.3025,0.3645,0.198,0.0585,0.008,0.0015,0.0,0.0,0.0,0.152,0.5025,0.286,0.0535,0.006,0.0,0.0,0.0,0.0,0.0
D00109_7512.obj,normalized_data/Insect/D00109_7512.obj,Insect,1.38,0.004,0.462,150333.474,1.001,0.028,3.088,0.1295,0.1805,0.188,0.1435,0.136,0.0885,0.0555,0.0405,0.0265,0.0115,0.0,0.1465,0.434,0.2455,0.138,0.036,0.0,0.0,0.0,0.0,0.1145,0.19,0.2135,0.274,0.1515,0.0465,0.01,0.0,0.0,0.0,0.072,0.2235,0.25,0.23,0.1445,0.0615,0.018,0.0005,0.0,0.0,0.167,0.326,0.258,0.1805,0.0545,0.014,0.0,0.0,0.0,0.0
