file,class,num_vertices,num_faces,face_types,bounding_box
normalized_data/Insect/D00291_5256.obj,Insect,5256,10468,only triangles,"{'min': [-0.44, -0.27, -0.13], 'max': [0.56, 0.27, 0.06]}"
normalized_data/Insect/D00855_4392.obj,Insect,4392,8740,only triangles,"{'min': [-0.45, -0.4, -0.14], 'max': [0.55, 0.38, 0.16]}"
normalized_data/Insect/D00510_1662.obj,Insect,1662,3216,only triangles,"{'min': [-0.52, -0.44, -0.19], 'max': [0.48, 0.41, 0.17]}"
normalized_data/Insect/m11_6000.obj,Insect,6000,11988,only triangles,"{'min': [-0.48, -0.26, -0.04], 'max': [0.52, 0.25, 0.04]}"
normalized_data/Insect/m9_5023.obj,Insect,5023,9668,only triangles,"{'min': [-0.34, -0.5, -0.25], 'max': [0.51, 0.5, 0.23]}"
normalized_data/Insect/m0_5106.obj,Insect,5106,10108,only triangles,"{'min': [-0.32, -0.27, -0.42], 'max': [0.33, 0.28, 0.58]}"
normalized_data/Insect/D00732_9311.obj,Insect,9311,19275,only triangles,"{'min': [-0.53, -0.54, -0.24], 'max': [0.47, 0.35, 0.24]}"
normalized_data/Insect/m13_5229.obj,Insect,5229,10167,only triangles,"{'min': [-0.3, -0.08, -0.47], 'max': [0.27, 0.08, 0.53]}"
normalized_data/Insect/D00082.obj,Insect,7162,12876,only triangles,"{'min': [-0.21, -0.51, -0.19], 'max': [0.73, 0.49, 0.29]}"
normalized_data/Insect/D00333.obj,Insect,6007,11290,only triangles,"{'min': [-0.5, -0.36, -0.12], 'max': [0.5, 0.42, 0.07]}"
normalized_data/Insect/D00430_8718.obj,Insect,8718,18253,only triangles,"{'min': [-0.45, -0.49, -0.24], 'max': [0.55, 0.46, 0.2]}"
normalized_data/Insect/D00160_8048.obj,Insect,8048,16048,only triangles,"{'min': [-0.48, -0.5, -0.14], 'max': [0.46, 0.5, 0.16]}"
normalized_data/Insect/D00989_5451.obj,Insect,5451,10864,only triangles,"{'min': [-0.53, -0.35, -0.1], 'max': [0.47, 0.36, 0.13]}"
