file,class,num_vertices,num_faces,face_types,bounding_box
data/Insect/D00309.obj,Insect,1551,2818,only triangles,"{'min': [-0.87, -0.87, -0.37], 'max': [0.82, 0.72, 0.42]}"
data/Insect/D00136.obj,Insect,1384,2556,only triangles,"{'min': [-1.02, -0.41, -0.36], 'max': [0.43, 0.62, 0.19]}"
data/Insect/D00081.obj,Insect,313,578,only triangles,"{'min': [-0.88, -0.35, -0.35], 'max': [0.87, 1.04, 0.23]}"
data/Insect/D00732.obj,Insect,12008,23932,only triangles,"{'min': [-0.93, -0.9, -0.32], 'max': [0.77, 0.61, 0.49]}"
data/Insect/D00109.obj,Insect,3248,5280,only triangles,"{'min': [-0.85, -0.62, -0.43], 'max': [0.84, 0.76, 0.61]}"
data/Insect/D00294.obj,Insect,2022,3110,only triangles,"{'min': [-0.65, -0.71, -0.22], 'max': [1.01, 0.8, 0.28]}"
data/Insect/D00082.obj,Insect,6502,12876,only triangles,"{'min': [-0.59, -0.84, -0.34], 'max': [0.94, 0.8, 0.45]}"
data/Insect/D00333.obj,Insect,5923,11290,only triangles,"{'min': [-1.0, -0.67, -0.2], 'max': [0.88, 0.78, 0.17]}"
data/Insect/D00695.obj,Insect,790,1500,only triangles,"{'min': [-0.58, -0.51, -0.24], 'max': [0.87, 0.49, 0.11]}"
data/Insect/D00291.obj,Insect,286,528,only triangles,"{'min': [-0.85, -0.5, -0.24], 'max': [0.94, 0.47, 0.1]}"
data/Insect/D00734.obj,Insect,1588,2976,only triangles,"{'min': [-0.82, -0.81, -0.33], 'max': [0.86, 0.81, 0.31]}"
data/Insect/D00668.obj,Insect,15305,30554,only triangles,"{'min': [-0.53, -0.54, -0.53], 'max': [0.88, 0.38, 0.41]}"
data/Insect/D00746.obj,Insect,4250,8324,only triangles,"{'min': [-0.86, -0.59, -0.37], 'max': [0.84, 0.77, 0.35]}"
data/Insect/m4.obj,Insect,4346,8216,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.56, 0.98, 0.33]}"
data/Insect/D00752.obj,Insect,12528,25000,only triangles,"{'min': [-0.77, -0.82, -0.29], 'max': [0.9, 0.68, 0.29]}"
data/Insect/m13.obj,Insect,491,1087,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.55, 0.18, 0.98]}"
data/Insect/D00430.obj,Insect,23399,46540,only triangles,"{'min': [-0.57, -0.73, -0.41], 'max': [0.87, 0.63, 0.23]}"
data/Insect/D00814.obj,Insect,1362,2628,only triangles,"{'min': [-0.76, -0.64, -0.11], 'max': [0.72, 0.72, 0.17]}"
data/Insect/m12.obj,Insect,278,500,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.38, 0.56]}"
data/Insect/D00753.obj,Insect,10092,19952,only triangles,"{'min': [-0.63, -0.38, -0.35], 'max': [0.89, 0.41, 0.47]}"
data/Insect/m7.obj,Insect,265,506,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.57, 0.58, 0.98]}"
data/Insect/D00989.obj,Insect,313,588,only triangles,"{'min': [-0.71, -0.61, -0.17], 'max': [1.07, 0.66, 0.23]}"
data/Insect/D00786.obj,Insect,2830,5358,only triangles,"{'min': [-1.04, -0.47, -0.51], 'max': [0.7, 0.48, 0.19]}"
data/Insect/m10.obj,Insect,1362,2628,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.89, 0.98, 0.22]}"
data/Insect/D00590.obj,Insect,1292,2580,only triangles,"{'min': [-0.86, -0.53, -0.11], 'max': [0.81, 0.63, 0.15]}"
data/Insect/D00180.obj,Insect,2572,5046,only triangles,"{'min': [-0.82, -0.52, -0.64], 'max': [0.89, 0.57, 0.47]}"
data/Insect/m11.obj,Insect,368,724,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.51, 0.1]}"
data/Insect/D00787.obj,Insect,420,972,only triangles,"{'min': [-1.03, -0.27, -0.02], 'max': [0.94, 0.24, 0.02]}"
data/Insect/m6.obj,Insect,9184,17998,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.67, 0.7, 0.98]}"
data/Insect/m2.obj,Insect,3495,6667,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.62, 0.52, 0.98]}"
data/Insect/D00973.obj,Insect,7638,15145,only triangles,"{'min': [-1.04, -0.7, -0.3], 'max': [0.8, 0.42, 0.47]}"
data/Insect/m15.obj,Insect,368,724,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.42, 0.5]}"
data/Insect/D00806.obj,Insect,309,578,only triangles,"{'min': [-0.82, -0.73, -0.38], 'max': [0.66, 0.72, 0.45]}"
data/Insect/D00231.obj,Insect,312,570,only triangles,"{'min': [-0.83, -0.9, -0.21], 'max': [0.84, 0.86, 0.15]}"
data/Insect/m14.obj,Insect,891,1678,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.72, 0.77]}"
