file,class,num_vertices,num_faces,face_types,bounding_box
resampled_data/Insect/D00668_6732.obj,Insect,6729,15250,only triangles,"{'min': [-0.53, -0.54, -0.53], 'max': [0.88, 0.38, 0.41]}"
resampled_data/Insect/D00291_5256.obj,Insect,5256,10468,only triangles,"{'min': [-0.85, -0.5, -0.24], 'max': [0.94, 0.47, 0.1]}"
resampled_data/Insect/m18_7588.obj,Insect,7588,15000,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.42, 0.79]}"
resampled_data/Insect/m9_4854.obj,Insect,4854,9342,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.83, 0.98, 0.48]}"
resampled_data/Insect/m20_5885.obj,Insect,5885,11550,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.42, 0.93]}"
resampled_data/Insect/D00752_6768.obj,Insect,6767,14064,only triangles,"{'min': [-0.77, -0.82, -0.29], 'max': [0.9, 0.68, 0.29]}"
resampled_data/Insect/D00855_4392.obj,Insect,4392,8740,only triangles,"{'min': [-1.04, -0.75, -0.2], 'max': [0.76, 0.65, 0.33]}"
resampled_data/Insect/D00082_7162.obj,Insect,7162,12876,only triangles,"{'min': [-0.59, -0.84, -0.34], 'max': [0.94, 0.8, 0.45]}"
resampled_data/Insect/D00231_5542.obj,Insect,5542,11030,only triangles,"{'min': [-0.83, -0.9, -0.21], 'max': [0.84, 0.86, 0.15]}"
resampled_data/Insect/D00510_1660.obj,Insect,1660,3212,only triangles,"{'min': [-1.14, -0.78, -0.25], 'max': [0.58, 0.68, 0.37]}"
resampled_data/Insect/D00510_1662.obj,Insect,1662,3216,only triangles,"{'min': [-1.14, -0.78, -0.25], 'max': [0.58, 0.68, 0.37]}"
resampled_data/Insect/D00973_7638.obj,Insect,7638,15145,only triangles,"{'min': [-1.04, -0.7, -0.3], 'max': [0.8, 0.42, 0.47]}"
resampled_data/Insect/m11_6000.obj,Insect,6000,11988,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.51, 0.1]}"
resampled_data/Insect/m9_5023.obj,Insect,5023,9668,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.83, 0.98, 0.48]}"
resampled_data/Insect/m19_7616.obj,Insect,7519,14391,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.97, 0.35, 0.64]}"
resampled_data/Insect/m0_5106.obj,Insect,5106,10108,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.64, 0.55, 0.98]}"
resampled_data/Insect/D00732_9311.obj,Insect,9311,19275,only triangles,"{'min': [-0.93, -0.9, -0.32], 'max': [0.77, 0.61, 0.49]}"
resampled_data/Insect/D00109_7512.obj,Insect,7512,13815,only triangles,"{'min': [-0.85, -0.62, -0.43], 'max': [0.84, 0.76, 0.61]}"
resampled_data/Insect/D00774_5126.obj,Insect,5126,10139,only triangles,"{'min': [-0.92, -0.59, -0.15], 'max': [0.93, 0.63, 0.4]}"
resampled_data/Insect/m13_5229.obj,Insect,5229,10167,only triangles,"{'min': [0.03, 0.03, 0.05], 'max': [0.55, 0.18, 0.98]}"
resampled_data/Insect/D00732_7062.obj,Insect,7062,15497,only triangles,"{'min': [-0.93, -0.9, -0.32], 'max': [0.77, 0.61, 0.49]}"
resampled_data/Insect/D00082.obj,Insect,7162,12876,only triangles,"{'min': [-0.59, -0.84, -0.34], 'max': [0.94, 0.8, 0.45]}"
resampled_data/Insect/D00333.obj,Insect,6007,11290,only triangles,"{'min': [-1.0, -0.67, -0.2], 'max': [0.88, 0.78, 0.17]}"
resampled_data/Insect/D00430_8718.obj,Insect,8718,18253,only triangles,"{'min': [-0.57, -0.73, -0.41], 'max': [0.87, 0.63, 0.23]}"
resampled_data/Insect/m14_3771.obj,Insect,3771,7230,only triangles,"{'min': [0.04, 0.03, 0.03], 'max': [0.97, 0.71, 0.76]}"
resampled_data/Insect/D00160_8048.obj,Insect,8048,16048,only triangles,"{'min': [-0.99, -0.9, -0.25], 'max': [0.78, 0.99, 0.32]}"
resampled_data/Insect/m25_4572.obj,Insect,4572,9140,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.82, 0.5, 0.98]}"
resampled_data/Insect/D00989_5451.obj,Insect,5451,10864,only triangles,"{'min': [-0.71, -0.61, -0.17], 'max': [1.07, 0.66, 0.23]}"
resampled_data/Insect/m3_4529.obj,Insect,4529,8998,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.93, 0.56, 0.98]}"
resampled_data/Insect/m20_6232.obj,Insect,6232,12243,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.42, 0.93]}"
resampled_data/Insect/D00746_3735.obj,Insect,3735,7293,only triangles,"{'min': [-0.86, -0.59, -0.37], 'max': [0.84, 0.76, 0.35]}"
resampled_data/Insect/D00081_4366.obj,Insect,4366,8684,only triangles,"{'min': [-0.88, -0.35, -0.35], 'max': [0.87, 1.04, 0.23]}"
resampled_data/Insect/D00309_6127.obj,Insect,6127,12020,only triangles,"{'min': [-0.87, -0.87, -0.37], 'max': [0.82, 0.64, 0.42]}"
resampled_data/Insect/D00615_2546.obj,Insect,2546,4488,only triangles,"{'min': [-0.85, -0.77, -0.42], 'max': [0.84, 0.61, 0.59]}"
resampled_data/Insect/D00753_7301.obj,Insect,7301,14922,only triangles,"{'min': [-0.63, -0.38, -0.35], 'max': [0.89, 0.41, 0.47]}"
resampled_data/Insect/m2_6710.obj,Insect,6710,13183,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.62, 0.52, 0.98]}"
resampled_data/Insect/m22_7632.obj,Insect,7632,15218,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.43, 0.68]}"
resampled_data/Insect/m18_4250.obj,Insect,4250,8324,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.42, 0.79]}"
resampled_data/Insect/m2_3495.obj,Insect,3495,6754,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.62, 0.52, 0.98]}"
resampled_data/Insect/D00231_5751.obj,Insect,5751,11448,only triangles,"{'min': [-0.83, -0.9, -0.21], 'max': [0.84, 0.86, 0.15]}"
resampled_data/Insect/m10_5757.obj,Insect,5757,11418,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.89, 0.97, 0.22]}"
resampled_data/Insect/m6_9260.obj,Insect,9255,17937,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.67, 0.7, 0.98]}"
resampled_data/Insect/m23_4943.obj,Insect,4943,9838,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.48, 0.43, 0.98]}"
resampled_data/Insect/D00662_8227.obj,Insect,8223,17849,only triangles,"{'min': [-0.61, -0.65, -0.4], 'max': [1.11, 0.86, 0.47]}"
resampled_data/Insect/D00814_7910.obj,Insect,7910,15724,only triangles,"{'min': [-0.76, -0.64, -0.11], 'max': [0.72, 0.72, 0.17]}"
resampled_data/Insect/m16_2666.obj,Insect,2666,5242,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.27, 0.72]}"
resampled_data/Insect/D00160_7727.obj,Insect,7727,15406,only triangles,"{'min': [-0.99, -0.9, -0.25], 'max': [0.78, 0.99, 0.32]}"
resampled_data/Insect/D00136_8536.obj,Insect,8536,16972,only triangles,"{'min': [-1.02, -0.41, -0.36], 'max': [0.43, 0.62, 0.19]}"
resampled_data/Insect/D00695_3626.obj,Insect,3626,7196,only triangles,"{'min': [-0.58, -0.51, -0.24], 'max': [0.87, 0.49, 0.11]}"
resampled_data/Insect/D00668_9105.obj,Insect,9105,19862,only triangles,"{'min': [-0.53, -0.54, -0.53], 'max': [0.88, 0.38, 0.41]}"
resampled_data/Insect/D00713_7241.obj,Insect,7241,14451,only triangles,"{'min': [-0.89, -0.86, -0.27], 'max': [0.74, 0.44, 0.58]}"
resampled_data/Insect/D00117_5090.obj,Insect,5090,9732,only triangles,"{'min': [-1.04, -0.57, -0.6], 'max': [0.65, 0.79, 0.26]}"
resampled_data/Insect/D00294_2022.obj,Insect,2022,3180,only triangles,"{'min': [-0.65, -0.71, -0.22], 'max': [1.01, 0.8, 0.28]}"
resampled_data/Insect/m6.obj,Insect,9184,17998,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.67, 0.7, 0.98]}"
resampled_data/Insect/D00615_5310.obj,Insect,5310,10003,only triangles,"{'min': [-0.85, -0.77, -0.42], 'max': [0.84, 0.61, 0.59]}"
resampled_data/Insect/D00973.obj,Insect,7638,15145,only triangles,"{'min': [-1.04, -0.7, -0.3], 'max': [0.8, 0.42, 0.47]}"
resampled_data/Insect/D00399_2762.obj,Insect,2762,5389,only triangles,"{'min': [-0.84, -0.76, -0.2], 'max': [0.55, 0.79, 0.12]}"
resampled_data/Insect/D00713_6600.obj,Insect,6600,13166,only triangles,"{'min': [-0.89, -0.86, -0.27], 'max': [0.74, 0.44, 0.58]}"
resampled_data/Insect/D00884_8691.obj,Insect,8685,18653,only triangles,"{'min': [-0.6, -0.66, -0.38], 'max': [1.05, 0.8, 0.46]}"
resampled_data/Insect/m21_6668.obj,Insect,6668,13230,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.52, 0.83]}"
resampled_data/Insect/D00672_6865.obj,Insect,6865,12906,only triangles,"{'min': [-1.05, -0.57, -0.3], 'max': [0.75, 0.71, 0.35]}"
resampled_data/Insect/D00399_4064.obj,Insect,4064,7911,only triangles,"{'min': [-0.84, -0.76, -0.2], 'max': [0.55, 0.79, 0.12]}"
resampled_data/Insect/m15_5821.obj,Insect,5821,11630,only triangles,"{'min': [0.03, 0.03, 0.03], 'max': [0.98, 0.42, 0.5]}"
